no,group,name,tip_label,hpv_genome,genus,group_number,hpv_name,group_genome,color,shape,size
1,pave,HPV60,HPV60-L1|lcl|Human,60,gamma,4,gammapapillomavirus_4,gamma_HPV60,gamma,21,1
2,pave,HPV184,HPV184-L1|lcl|Human,184,gamma,25,gammapapillomavirus_25,gamma_HPV184,gamma,21,1
3,pave,HPV175,HPV175-L1|lcl|Human,175,gamma,23,gammapapillomavirus_23,gamma_HPV175,gamma,21,1
4,pave,HPV156,HPV156-L1|lcl|Human,156,gamma,18,gammapapillomavirus_18,gamma_HPV156,gamma,21,1
5,rag,Met2824_rag_skin_NODE_620_length_7339_cov_40.698380_1,Met2824_rag_skin_NODE_620_length_7339_cov_40.698380_1,0,rag,172,0,0,red,23,1.4
6,rag,Met2859_rag_skin_NODE_319_length_7314_cov_13.978372_4,Met2859_rag_skin_NODE_319_length_7314_cov_13.978372_4,0,rag,223,0,0,red,23,1.4
7,pave,HPV223,HPV223-L1|lcl|Human,223,gamma,NA,gammapapillomavirus_NA,gamma_HPV223,gamma,21,1
8,rag,Met2859_rag_skin_NODE_330_length_7269_cov_7.279734_5,Met2859_rag_skin_NODE_330_length_7269_cov_7.279734_5,0,rag,223,0,0,red,23,1.4
9,pave,HPV172,HPV172-L1|lcl|Human,172,gamma,22,gammapapillomavirus_22,gamma_HPV172,gamma,21,1
10,rag,Met2906_rag_skin_NODE_612_length_7268_cov_34.690697_1,Met2906_rag_skin_NODE_612_length_7268_cov_34.690697_1,0,rag,172,0,0,red,23,1.4
11,rag,Met2906_rag_skin_NODE_608_length_7279_cov_54.309109_1,Met2906_rag_skin_NODE_608_length_7279_cov_54.309109_1,0,rag,156,0,0,red,23,1.4
12,pave,HPV88,HPV88-L1|lcl|Human,88,gamma,5,gammapapillomavirus_5,gamma_HPV88,gamma,21,1
13,pave,HPV211,HPV211-L1|lcl|Human,211,gamma,NA,gammapapillomavirus_NA,gamma_HPV211,gamma,21,1
14,pave,HPV187,HPV187-L1|lcl|Human,187,gamma,26,gammapapillomavirus_26,gamma_HPV187,gamma,21,1
15,pave,HPV224,HPV224-L1|lcl|Human,224,gamma,NA,gammapapillomavirus_NA,gamma_HPV224,gamma,21,1
16,pave,HPV176,HPV176-L1|lcl|Human,176,gamma,8,gammapapillomavirus_8,gamma_HPV176,gamma,21,1
17,pave,HPV147,HPV147-L1|lcl|Human,147,gamma,8,gammapapillomavirus_8,gamma_HPV147,gamma,21,1
18,pave,HPV168,HPV168-L1|lcl|Human,168,gamma,8,gammapapillomavirus_8,gamma_HPV168,gamma,21,1
19,pave,HPV164,HPV164-L1|lcl|Human,164,gamma,8,gammapapillomavirus_8,gamma_HPV164,gamma,21,1
20,pave,HPV112,HPV112-L1|lcl|Human,112,gamma,8,gammapapillomavirus_8,gamma_HPV112,gamma,21,1
21,pave,HPV119,HPV119-L1|lcl|Human,119,gamma,8,gammapapillomavirus_8,gamma_HPV119,gamma,21,1
22,rag,Met2824_rag_skin_NODE_653_length_7222_cov_161.100600_4,Met2824_rag_skin_NODE_653_length_7222_cov_161.100600_4,0,rag,200,0,0,red,21,1.4
23,pave,HPV200,HPV200-L1|lcl|Human,200,gamma,2,gammapapillomavirus_2,gamma_HPV200,gamma,21,1
24,pave,HPV48,HPV48-L1|lcl|Human,48,gamma,2,gammapapillomavirus_2,gamma_HPV48,gamma,21,1
25,pave,HPV131,HPV131-L1|lcl|Human,131,gamma,14,gammapapillomavirus_14,gamma_HPV131,gamma,21,1
26,pave,HPV50,HPV50-L1|lcl|Human,50,gamma,3,gammapapillomavirus_3,gamma_HPV50,gamma,21,1
27,pave,HPV188,HPV188-L1|lcl|Human,188,gamma,3,gammapapillomavirus_3,gamma_HPV188,gamma,21,1
28,pave,HPV165,HPV165-L1|lcl|Human,165,gamma,12,gammapapillomavirus_12,gamma_HPV165,gamma,21,1
