no,genome,hpv_genome,group,group_number,hpv_name,group_genome,Met0913,Met0920,Met0921,Met0936,Met0946,Met0947,Met0992,Met1003,Met1004,Met1020,Met1030,Met1031,Met2822,Met2823,Met2824,Met2825,Met2834,Met2835,Met2836,Met2837,Met2846,Met2847,Met2849,Met2858,Met2859,Met2860,Met2861,Met2870,Met2871,Met2872,Met2873,Met2882,Met2883,Met2885,Met2894,Met2895,Met2897,Met2906,Met2909,Met3132,Met3138,Met3139,Met3142,Met3144,Met3506,Met3507,Met3508,Met3509,Met3510,Met3511,Met3512,Met3513,Met3514,Met3515,Met3516,Met3517,Met3518,Met3519,Met3520,Met4126,Met4127,Met4128,Met4129,Met4130,Met4131,Met4132,Met4133,Met4134,Met4135,Met4136,Met4137,Met4138,Met4139,Met4140,Met4141,Met4142,Met4143,Met4144,Met4145,Met4146,Met4147,Met4148,Met4149,Met4150,Met4151,Met4152,Met4153,Met4154,Met4155,Met4156,Met4157,Met4158,Met4348,Met4349,Met4350,Met4351,Met4352,Met4353,Met4357,Met4358,Met4359,Met4360,Met4361,Met4362,Met4363,Met4364,Met4365,Met4366,Met4367,Met4368,Met4369,Met4370,Met4371,Met4372,Met4373,Met4374,Met4375,Met4376,Met4520,Met4521,Met4522,Met4523,Met4524,Met4525,Met4526,Met4527
1,HPV1,1,mu,1,mupapillomavirus_1,mu_HPV1,0,0,0,0,4.8064,2.4682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3383,0,0,0,0,0,0,0,0,0,0,0,28.5789,0.2598,56.2484,0,0,0,0,2.5981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.299,3.3775,3.1177,0,8.7036,0,0
2,HPV2,2,alpha,4,alphapapillomavirus_4,alpha_HPV2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,HPV3,3,alpha,2,alphapapillomavirus_2,alpha_HPV3,0,0,0,0,0,0,2.9085,0,0,0,0,0,570.3332,0,0,0,2443.0196,0,0,0,152.3004,0,0,941.5653,0,0,0,146.0867,0,0,0,9.3866,0,31.8614,12.6917,0,0,455.5791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2306,0,0,0,0,0,0,5.817,37.2819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,HPV4,4,gamma,1,gammapapillomavirus_1,gamma_HPV4,0,0,0,0,0,0,6.5744,0,0,0,0,0,0,0.2739,0,2980.0027,0,55.6088,0,17111.7655,0,0,97862.0737,0,8.7659,0,379.674,0.6848,0.2739,0,424.7363,2.7394,0.6848,59466.2375,0,0,1950.5547,0,3780.0301,0,0,0,0,0,1.9175,0,4.5199,0,0,0,0,0,0,0,0,0,1.0957,1.0957,2.7394,0,0,0,0,0.2739,2.4654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,HPV5,5,beta,1,betapapillomavirus_1,beta_HPV5,0,0,0,2.1294,0,0,0,0,0,13.3085,0,0,0,4.5249,0,81.581,4.5249,1.597,0,125.366,0,0,962.4701,6.6542,0.9316,0,16.3694,0,0,0,13.1754,0,0,85.4405,0,0,87.703,0,188.1821,0,0,0,0,0,0,0,0,0,0.2662,1.0647,80.3833,14.3732,34.3359,0,0,0,0,0,0,0,0,0,0,0.9316,5.8557,0,0,1.8632,0.6654,0.2662,0,0.2662,0.5323,0,1.0647,0,7054.0325,7.0535,54.9641,2.1294,134.4158,56.9603,10.1145,310.7533,154581.0487,185427.6018,80651.4506,75799.9734,296764.839,257942.7735,624217.5938,590095.4219,0.7985,0.6654,0,0,0,67155.7093,0,0,0,0,0,0,0,0,0,5.4565,0,0,0,0,0,0,0,0,0,0,0,0.5323,1.8632,0.7985,0,0.3993,0,0
6,HPV8,8,beta,1,betapapillomavirus_1,beta_HPV8,1.5823,99.9473,3.692,0,0,0,0.7911,0,0,3.1646,0.5274,0,0,0.2637,0.2637,227.3207,0.5274,0.5274,0,166.1392,0,0,565.6646,0,0,0,137.7901,14.6361,0.2637,0,72.2574,0,0.7911,186.4451,0,0,26609.4409,0,311.8407,0,0,0,0,0,0.5274,0,0,0,0,0.2637,0,0,0,0.2637,0,0,0,0,0,0,0,0,15.2954,0,0,0,0,1.0549,0,0,0,0.5274,0,0,1.0549,0,0,0,0,0,0,0,0,0,174.3143,279.0084,262.1308,176.1603,598.365,187.2363,153.8766,372.8903,0,0,0,0,0,18.0643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7911,0,0
7,HPV9,9,beta,2,betapapillomavirus_2,beta_HPV9,0,0,0,0.8164,0,0,0,0,0,0,0,0,0.5443,0,0,0,3.2658,0,0,0.9525,0,0,0,10.2055,0,0,0,0,0,0,0,0.2721,0,0,0.4082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7151,0,0,1.6329,1.905,2.1772,0,0.5443,43.6794,0,1.905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,HPV10,10,alpha,2,alphapapillomavirus_2,alpha_HPV10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1281,0,0,0,0,2.0571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2571,0.2571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,HPV12,12,beta,1,betapapillomavirus_1,beta_HPV12,0,0,0,0,0,0,0,0,0.5249,0,0,0,3.4116,0.1312,0,0,0.5249,0,0,0,3.6741,0,13.6465,15.3523,0,0,0,147.8809,0,0,0.2624,0,0,2.3619,0,0,3.2804,5.5111,0,0,0,0,0,0.2624,0,0,0,0,0.5249,0.7873,0,0,0.2624,0,0,0,1.1809,0.5249,2.0995,916.4152,933.9982,440.7558,4745.0466,813.5415,69.6759,65.8706,5887.6788,10.7597,16.2708,2.0995,0.5249,0,3.1492,0,10.7597,0,0,0,0,0,0,0,0,0,270.3057,314.9193,194.2002,319.9055,953.6806,523.0285,721.6901,1185.8024,0,60.8844,82.5351,0.5249,0,73.0875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2624,0,0,0,0.5249,1.7058,0,0.2624,0,0
10,HPV14,14,beta,1,betapapillomavirus_1,beta_HPV14,0,0,0,0,0,0,0,0,0,0.6628,0,0,0,0,0,0,0,0,0,0,0,0,1201.3521,0,0,0,0,0.7953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2651,0,0,0,0,0,0,0,0,2.386,0,0,0,0,0,0,0,0,0,0,0,0.7953,0,0,0,0,0,0,0,639.0509,401.3786,1378.0488,1659.7296,668.3457,328.3404,649.9205,400.4507,0,0,0,0,0,23.7275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
