No.,Study,MAG,Size_bp,Domain,Phylum,Class,Order,Family,Genus,Species,Completeness,Contamination
1,Present study,1044.concoct.bin.36,18083331,d__Eukaryota,p__Basidiomycota,c__Microbotryomycetes,o__Sporidiobolales,f__Sporidiobolaceae,g__Rhodotorula ,s__Rhodotorula sp.,78.4,1.2
2,Present study,H70056.concoct.bin.24,8766957,d__Eukaryota,p__Basidiomycota,c__Exobasidiomycetes,o__Malasseziales,f__Malasseziaceae,g__Malassezia,s__Malassezia globosa,98.4,0
3,Present study,H70105.concoct.bin.4,7923828,d__Eukaryota,p__Basidiomycota,c__Exobasidiomycetes,o__Malasseziales,f__Malasseziaceae,g__Malassezia,s__Malassezia furfur,95.8,0.2
4,Present study,Met3506.concoct.bin.26,7139962,d__Eukaryota,p__Basidiomycota,c__Exobasidiomycetes,o__Malasseziales,f__Malasseziaceae,g__Malassezia,s__Malassezia restricta,99.8,0
5,Present study,Met3506.concoct.bin.34,16589915,d__Eukaryota,p__Ascomycota,c__Eurotiomycetes,o__,f__,f__,s__,64.66,0.75
6,Present study,Met3509.concoct.bin.5,8802859,d__Eukaryota,p__Basidiomycota,c__Exobasidiomycetes,o__Malasseziales,f__Malasseziaceae,g__Malassezia,s__Malassezia globosa,97.6,2
7,Present study,Met3510.concoct.bin.2,7013585,d__Eukaryota,p__Basidiomycota,c__Exobasidiomycetes,o__Malasseziales,f__Malasseziaceae,g__Malassezia,s__Malassezia restricta,95.2,0.2
8,Present study,Met3516.concoct.bin.22,6975780,d__Eukaryota,p__Basidiomycota,c__Exobasidiomycetes,o__Malasseziales,f__Malasseziaceae,g__Malassezia,s__Malassezia restricta,92.6,1
9,SMGC,SMGC_7558,8610536,d__Eukaryota,p__Basidiomycota,c__Exobasidiomycetes,o__Malasseziales,f__Malasseziaceae,f__Malasseziaceae,s__Malassezia slooffiae,98,0.6
10,SMGC,SMGC_7560,7203810,d__Eukaryota,p__Basidiomycota,c__Exobasidiomycetes,o__Malasseziales,f__Malasseziaceae,f__Malasseziaceae,s__Malassezia auris,98.8,0
11,SMGC,SMGC_7561,7676437,d__Eukaryota,p__Basidiomycota,c__Exobasidiomycetes,o__Malasseziales,f__Malasseziaceae,f__Malasseziaceae,s__Malassezia sympodialis,99,0.4
12,SMGC,SMGC_7563,7035315,d__Eukaryota,p__Basidiomycota,c__Exobasidiomycetes,o__Malasseziales,f__Malasseziaceae,f__Malasseziaceae,s__Malassezia rara,96.2,0.4
13,SMGC,SMGC_7566,7765178,d__Eukaryota,p__Basidiomycota,c__Exobasidiomycetes,o__Malasseziales,f__Malasseziaceae,f__Malasseziaceae,s__Malassezia palmae,98,0.4
14,SMGC,SMGC_7567,20923355,d__Eukaryota,p__Ascomycota,c__,o__,f__,f__,s__,74.44,0
15,SMGC,SMGC_7568,8388548,d__Eukaryota,p__Basidiomycota,c__Microbotryomycetes,o__Sporidiobolales,f__Sporidiobolaceae,g__Rhodotorula ,s__,74.33,0
16,UHGG,MGYG000000522,1691878,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter_A,s__,99.16,0
17,UHGG,MGYG000000654,1448574,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomethylophilaceae,g__MX-02,s__MX-02 sp006954405,96.37,0.81
18,UHGG,MGYG000000897,1739504,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomassiliicoccaceae,g__Methanomassiliicoccus,s__,97.65,0
19,UHGG,MGYG000001639,4015175,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax massiliensis,97.79,0
20,UHGG,MGYG000001693,3425042,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halorubrum,s__Halorubrum lipolyticum,99.3,0.38
21,UHGG,MGYG000001856,1620374,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomassiliicoccaceae,g__Methanomassiliicoccus,s__,94.35,1.61
22,UHGG,MGYG000002160,1931651,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomassiliicoccaceae,g__Methanomassiliicoccus,s__Methanomassiliicoccus intestinalis,98.33,0.81
23,UHGG,MGYG000002161,2620233,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomassiliicoccaceae,g__Methanomassiliicoccus,s__Methanomassiliicoccus luminyensis,99.19,0
24,UHGG,MGYG000002162,2083511,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter_A,s__Methanobrevibacter_A oralis,96,0
25,UHGG,MGYG000002164,1767403,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanosphaera,s__Methanosphaera stadtmanae,97.6,0
26,UHGG,MGYG000002446,1926345,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter_A,s__Methanobrevibacter_A smithii_A,100,0
27,UHGG,MGYG000002456,1666795,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomethylophilaceae,g__Methanomethylophilus,s__Methanomethylophilus alvus,98.39,0.81
28,UHGG,MGYG000003455,1231980,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomethylophilaceae,g__UBA71,s__,89.46,0.04
29,UHGG,MGYG000003516,1591883,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter_A,s__,95.33,2.65
30,UHGG,MGYG000003531,1722504,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomethylophilaceae,g__,s__,93.55,2.7
31,UHGG,MGYG000003541,1274444,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter_A,s__,56.37,0.8
32,UHGG,MGYG000003602,1024803,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanocorpusculaceae,g__Methanocorpusculum,s__,83.64,2.61
33,UHGG,MGYG000003888,1767803,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomethylophilaceae,g__UBA71,s__UBA71 sp006954425,98.52,0
34,UHGG,MGYG000003962,1726701,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomethylophilaceae,g__UBA71,s__,98.52,0
35,UHGG,MGYG000004283,1610769,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter_A,s__Methanobrevibacter_A woesei,100,0
36,UHGG,MGYG000004312,1787155,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomassiliicoccaceae,g__Methanomassiliicoccus,s__,95.56,2.46
37,UHGG,MGYG000004339,1713743,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomethylophilaceae,g__UBA71,s__UBA71 sp006954465,95.16,0.81
38,UHGG,MGYG000004372,1007928,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomethylophilaceae,g__UBA71,s__,64.67,0.94
39,UHGG,MGYG000004410,1661817,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanosphaera,s__Methanosphaera cuniculi,95.33,0.8
40,UHGG,MGYG000004563,1759917,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanosphaera,s__Methanosphaera sp900322125,96.8,0
41,UHGG,MGYG000004574,981979,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomethylophilaceae,g__UBA71,s__,68.21,2.42
42,UHGG,MGYG000004585,1905101,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobacterium,s__Methanobacterium sp000499765,98.13,0
43,ELGG,GCF_000016525.1_ASM1652v1_genomic,1853160,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter_A,s__Methanobrevibacter_A smithii,100,0
44,SMGC,SMGC_22,1228355,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__TA-21,s__,58.43,1.21
45,ELGG,BackhedF_2015_ERR525721_bin.17,2072186,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900542235,100,0.81
46,ELGG,BackhedF_2015_ERR525754_bin.13,1874571,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Faecalimonas,s__,51.23,0
47,ELGG,BackhedF_2015_ERR525865_bin.8,2156269,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900540905,100,0.81
48,ELGG,BackhedF_2015_ERR525908_bin.3,2105547,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900755685,100,0.81
49,ELGG,BackhedF_2015_ERR525949_bin.8,2115907,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900540945,98.39,0
50,ELGG,BackhedF_2015_ERR526017_bin.6,2113082,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900544995,100,0.81
51,ELGG,Baumann-DudenhoefferAM_2018_SRR7217540_bin.1,4300115,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Kosakonia,s__,92.36,2.3
52,ELGG,Baumann-DudenhoefferAM_2018_SRR7217651_bin.6,3232082,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia,s__,97.45,0
53,ELGG,Baumann-DudenhoefferAM_2018_SRR7217745_bin.10,2441169,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lacrimispora,s__,58.22,1.32
54,ELGG,Baumann-DudenhoefferAM_2018_SRR7217765_bin.1,2006018,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,87.52,2.82
55,ELGG,Baumann-DudenhoefferAM_2018_SRR7217782_bin.3,1275961,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,59.17,1.08
56,ELGG,Baumann-DudenhoefferAM_2018_SRR7217911_bin.18,2674411,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Oliverpabstia,s__Oliverpabstia sp000432335,96.52,0
57,ELGG,BrooksB_2017_SRR5405655_bin.1,1373047,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Propionibacteriales,f__Propionibacteriaceae,g__Arachnia,s__,53.87,0.07
58,ELGG,BrooksB_2017_SRR5405658_bin.3,2842283,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Clostridium_E,s__,97.99,0.69
59,ELGG,BrooksB_2017_SRR5405686_bin.8,1678545,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Peptoniphilaceae,g__Finegoldia,s__Finegoldia magna_I,98.78,0
60,ELGG,BrooksB_2017_SRR5405843_bin.5,1696387,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__,85.03,4.16
61,ELGG,BrooksB_2017_SRR5405855_bin.1,1835793,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus sp000187745,89.2,1.51
62,ELGG,BrooksB_2017_SRR5405894_bin.8,4746658,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus_A,s__,99.31,4.71
